overall_match_win_diff,overall_game_won_diff,overall_game_loss_diff,head_to_head_win_diff,head_to_head_loss_diff,latest_game_win_match_rate_percentage_diff,latest_game_win_series_rate_percentage_diff,win
0,2,-1,2,3,11.07,11.120000000000005,1
0,-2,1,3,2,-11.07,-11.120000000000005,0
